MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.91226747,16.55232558,17.12019971,17.62801994,18.0856439,18.50093383,18.88009477
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.13449891,15.90993979,16.5954026,17.20687899,17.75622121,18.25243662,18.70254991
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,16.18456512,16.85630864,17.45938534,18.00376504,18.4970797,18.94538529,19.35364551
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.90730525,16.58829918,17.19955715,17.7511407,18.2509926,18.705484,19.11982049
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.66579968,16.36764594,16.99539567,17.56111461,18.07369564,18.53993553,18.96521772
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,14.66330621,15.40555909,16.0752898,16.68250481,17.23500862,17.73908467,18.19994409
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.75492643,16.43584656,17.04086239,17.58257011,18.07090411,18.51368683,18.91710156
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,19.58439507,20.12613698,20.56134987,20.91689539,21.21189808,21.4601911,21.67193114
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.77217713,16.4414876,17.03787132,17.57284897,18.05576978,18.49413164,18.89392794
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,14.97592746,15.70965344,16.37079464,16.96889336,17.51149271,18.00477939,18.45399149
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,14.62476594,15.40720696,16.10734836,16.73719405,17.30600448,17.8211763,18.28881517
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.32798546,16.06061781,16.70769229,17.28379416,17.80049082,18.26691014,18.69025991
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,12.24321707,13.25672314,14.18263821,15.02592334,15.79230315,16.48781318,17.11850921
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.56412773,16.3025708,16.96320107,17.55726296,18.09358898,18.57927755,19.02016865
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.8212491,16.50092773,17.10957348,17.65796845,18.15461063,18.60624453,19.01829344
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.41899981,16.12259226,16.74855496,17.31033559,17.81804446,18.27941746,18.70048718
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.53636517,16.27769764,16.93970489,17.53485374,18.07236104,18.55936756,19.00164507
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,12.16819746,13.20436553,14.15141657,15.01351423,15.79602802,16.50495837,17.14652437
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.79442639,16.43247767,17.01425921,17.54597725,18.03255493,18.47814491,18.88641227
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.91207859,16.55215305,17.12004041,17.62787153,18.08550469,18.50080253,18.87997045
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.13481417,15.91021962,16.59565197,17.20710214,17.75642175,18.25261757,18.70271382
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,16.18470521,16.85643494,17.45949938,18.00386834,18.49717362,18.94547104,19.35372411
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.90711764,16.58812589,17.19939783,17.75099443,18.25085826,18.70536045,19.11970664
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.66604991,16.36785587,16.99557335,17.56126617,18.07382584,18.54004811,18.96531564
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,19.39115436,19.8450959,20.20515794,20.49496759,20.73132492,20.92638617,21.0890941
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,19.42065668,19.86876659,20.22453203,20.51109908,20.7449565,20.93805368,21.09919248
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.603146986,3.226825516,3.885926004,4.561758301,5.239024627,5.90612448,6.554888165
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,3.691719226,4.376876141,5.075593559,5.771870986,6.453463854,7.11181974,7.741589195
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.889600981,3.580780104,4.301447711,5.030056136,5.75003513,6.449680983,7.121469945
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.582765431,3.134918746,3.727931296,4.346413029,4.97641915,5.606441585,6.227673187
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.702352964,3.252939418,3.843762084,4.459589765,5.086592862,5.713354237,6.331142856
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.787526786,3.47025783,4.184656088,4.90911665,5.626862756,6.325910842,6.998437846
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,3.492005452,4.174935337,4.876375216,5.578885837,6.268998673,6.937212809,7.57748985
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.621396909,3.254468178,3.92087589,4.602019156,5.282844752,5.952044293,6.601730556
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.599786072,3.223505359,3.882703527,4.558667976,5.236086259,5.903348377,6.552278617
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,3.693790082,4.380355487,5.080075563,5.777006034,6.458974457,7.11749673,7.747280647
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.886404018,3.577369851,4.297928879,5.026508936,5.746519093,6.446238719,7.118130648
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.584533123,3.136503114,3.729371531,4.347734227,4.977637554,5.607568084,6.228715529
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.708911453,3.259116615,3.849542982,4.464977133,5.09159973,5.717999281,6.335447548
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.789151187,3.471989822,4.186468057,4.910984489,5.628764809,6.327827807,7.000352928
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,3.49769964,4.180392118,4.881525825,5.583701305,6.273474562,6.941358995,7.581323971
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,2.624602079,3.257838814,3.924368397,4.605592401,5.28646068,5.955668774,6.605333982
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.025101876,9.824016896,10.59420716,11.33391561,12.04131313,12.7148899,13.35366578
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.041281541,9.82391743,10.57857714,11.30308142,11.99569901,12.65523557,13.28105187
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,7.909407681,8.624349972,9.334177049,10.03633964,10.72704647,11.40213912,12.05770279
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.397461355,10.19491566,10.95838303,11.68720472,12.38067801,13.03832873,13.66005396
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,8.851321077,9.615077186,10.35401186,11.06724772,11.75322688,12.41031205,13.03715545
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,6.650416173,7.427226156,8.199037438,8.959711253,9.70427673,10.4286054,11.12930891
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,8.968435432,9.717255234,10.44598256,11.15245696,11.8340609,12.48833599,13.11333036
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.389160945,10.20074099,10.97655853,11.71584647,12.41795397,13.08254553,13.70969843
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,7.883516201,8.607477654,9.325366564,10.03462003,10.73146897,11.41180111,12.07176456
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.077216431,9.857113401,10.60804171,11.32848855,12.01711293,12.67293084,13.29540115
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,8.959039461,9.768108941,10.54773935,11.29594557,12.01082207,12.69087476,13.33519015
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,6.521912475,7.300685932,8.07706193,8.844296867,9.596840162,10.33003596,11.04004304
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.029561342,9.829038378,10.59965924,11.33967021,12.04725856,12.72093382,13.35973422
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.042871871,9.825746583,10.58066688,11.30540596,11.99821353,12.65789062,13.28380037
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,7.899033686,8.614517676,9.324849453,10.02745058,10.71853172,11.39394715,12.04979631
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.401978025,10.19927264,10.96248946,11.6910098,12.3841613,13.04149057,13.66290762
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,8.859579477,9.622442297,10.36058956,11.07311889,11.75846006,12.41496936,13.04129491
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,6.705576358,7.474898105,8.240450404,8.995793304,9.735777297,10.45615439,11.15344609
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,8.976521289,9.724063719,10.45168117,11.15720287,11.83799565,12.49158422,13.11600033
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.389635606,10.20138567,10.9772274,11.71646199,12.41847925,13.08296722,13.71001636
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,7.871260519,8.596294601,9.315010162,10.02493088,10.72234334,11.40317019,12.06358098
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.074024388,9.854446483,10.60575393,11.32648914,12.01534323,12.67135102,13.29398254
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,8.97159968,9.780560307,10.5599457,11.30782042,12.02231161,12.70194719,13.34582892
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,6.515515336,7.295176084,8.072056326,8.839544371,9.592185586,10.32539132,11.03536562
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.864931142,10.67823471,11.45881694,12.20575478,12.91767417,13.59336043,14.23206719
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,10.058204,10.85971131,11.63026837,12.36856341,13.07287665,13.74171568,14.3741269
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,9.853889615,10.66676896,11.44705959,12.19382334,12.90567525,13.58138911,14.22020574
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,10.04531509,10.84767344,11.61903452,12.3580769,13.06308039,13.73255563,14.36555318
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,12.97459572,13.94075575,14.80546095,15.58046852,16.27624564,16.90198814,17.46573739
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,14.98668492,15.70798842,16.34493296,16.91278878,17.42313311,17.88482718,18.30473473
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,14.20007954,15.03991172,15.78758173,16.45637649,17.05706218,17.5984307,18.08774857
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,14.31422132,15.12707663,15.84417775,16.48199972,17.05328889,17.56796815,18.03385119
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,13.05964187,14.01370224,14.86894394,15.63639689,16.32602182,16.94666237,17.50611286
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,15.58934542,16.23341657,16.80720388,17.32277003,17.78932489,18.21396412,18.60221896
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,14.09134411,14.94289715,15.70092579,16.37878388,16.98736551,17.5356068,18.03091383
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",,,14.21404212,15.03846624,15.76545812,16.41172129,16.99022875,17.51110529,17.98233596
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,19.99353765,20.50377397,20.90997868,21.2378849,21.5059399,21.72758084,21.91274674
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,19.93567319,20.45378916,20.86650913,21.19982376,21.47239456,21.69783106,21.88620913
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,20.1106455,20.60257872,20.99435372,21.31070865,21.56938823,21.78332482,21.96208859
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,19.99215534,20.50259276,20.90896003,21.23699889,21.50516318,21.72689499,21.91213715
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,19.93581601,20.45391022,20.86661285,21.19991348,21.47247286,21.69789994,21.88627016
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,20.111528,20.60332735,20.99499565,21.31126445,21.56987368,21.78375216,21.96246746
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,3.345937705,4.029610208,4.730135399,5.430821148,6.118965575,6.785649768,7.425196246
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,3.341681893,4.02522524,4.725682061,5.426358505,6.114544526,6.781310766,7.420969379
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,3.365301017,4.051255214,4.753313461,5.454879662,6.143373616,6.809996827,7.449178152
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,3.345992772,4.029673424,4.730204812,5.430894885,6.11904199,6.785727492,7.425274186
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,3.341786529,4.025359912,4.725841198,5.426536432,6.114736011,6.781511265,7.421175106
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,3.365271115,4.051233738,4.753300256,5.454874121,6.143374883,6.810003943,7.449190158
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,6.694424471,7.509160044,8.314559431,9.105682469,9.878126065,10.62793322,11.35170019
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.796854373,8.603939184,9.4004653,10.18155584,10.94215733,11.67767601,12.38435315
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.434038193,8.29852096,9.142807509,9.963343347,10.75657438,11.51923481,12.24864016
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,9.285329592,10.10552784,10.89234775,11.64343426,12.35737896,13.03351423,13.67178699
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,6.700483481,7.513630012,8.317750842,9.107871119,9.879543019,10.62876524,11.35209472
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.794782437,8.60182322,9.398462273,10.17976222,10.9406234,11.67641947,12.38337027
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.422673166,8.287759781,9.13280411,9.954159249,10.74821228,11.51166212,12.24180491
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,9.273986065,10.09536919,10.88321658,11.6352053,12.34994735,13.02678962,13.66569036
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,6.707129849,7.521641788,8.326683403,9.117383035,9.889375666,10.63872493,11.36203806
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.797584343,8.605419536,9.402557026,10.18414965,10.94516047,11.68100659,12.38793813
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.430319295,8.295696745,9.140705638,9.961829115,10.75553982,11.51859185,12.24831619
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,9.293189235,10.11458267,10.90216284,11.65367046,12.3677794,13.04388982,13.68200254
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,6.694448516,7.509182123,8.314579984,9.10570191,9.878144747,10.62795141,11.35171809
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.796849501,8.603937123,9.400465375,10.18155746,10.94216,11.67767934,12.38435686
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.434029005,8.298513575,9.142802748,9.96334157,10.75657563,11.5192389,12.24864683
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,9.285372396,10.10557042,10.89238985,11.64347564,12.35741939,13.03355353,13.67182503
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,6.700517088,7.513663997,8.317784998,9.107905289,9.879577067,10.62879904,11.35212815
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.794814304,8.601859707,9.398503135,10.17980685,10.94067102,11.67646927,12.3834215
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.422591442,8.287680016,9.132726949,9.954085084,10.74814133,11.5115945,12.24174063
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,9.273977405,10.09537781,10.88323943,11.63523964,12.34999078,13.02684009,13.6657461
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,6.7071658,7.521672385,8.326707642,9.117400585,9.88938668,10.63872987,11.36203756
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.797555756,8.605397836,9.402541553,10.18413952,10.94515475,11.6810044,12.38793869
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,7.430346918,8.295723268,9.140732058,9.96185604,10.75556756,11.51862048,12.24834564
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,9.293206355,10.11460379,10.90218698,11.65369683,12.36780736,13.04391884,13.68203219
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,14.65427397,15.44636207,16.15330824,16.78719424,17.35800275,17.87393574,18.34175619
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,13.94303536,14.78758637,15.55391237,16.24910226,16.87983461,17.45228666,17.97211748
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",,,13.95062247,14.98747238,15.89585729,16.69343281,17.39565353,18.01577523,18.56507291
